year,strategy,n,d,p,rate
201112,raid_ip,8987515,1106308,17614441,7.998227949584026
201112,readmission_within_28_days,1065992,14364717,17614441,0.0750961272373031
201112,smoking,321737.70000000065,14364717,17614441,0.02322409621537235
201112,stroke_early_supported_discharge,1210402,74418,17614441,13.53400781764349
201112,tele_conversion-child_non-surgical,27770520,27800620,19227800,0.9990734120062017
201112,tele_conversion-child_surgical,44503360,44881830,19227800,0.9921418374419371
201112,zero_los_no_procedure-child,289583,1593169,1922780,0.18082434405762557
201112,enhanced_recovery_rectum,99975,9276,16546181,10.015665788992504
201112,evidence_based_interventions_msk,136796,13739543,16795360,0.010020300742510176
201112,medicines_related_admissions_implicit_benzodiasepines,38088,13670596,16718878,0.0028771816615274295
201112,medicines_related_admissions_implicit_diurectics,30122,12804608,15741350,0.0024811674481076107
201112,enhanced_recovery_breast,74343,54824,16116704,1.3157502986211898
201112,medicines_related_admissions_implicit_nsaids,9254,12834150,15771659,7.596080888322883e-4
201112,enhanced_recovery_hip,311944,53365,16064126,5.856665687688061
201112,enhanced_recovery_hysterectomy,110639,32289,8844502,3.921416714635962
201112,alcohol_partially_attributable-acute,60456.0300000001,11318295,13793557,0.005224620118359631
201112,alcohol_partially_attributable-chronic,492667.2900000023,12911725,15829235,0.03941744858620855
201112,alcohol_wholly_attributable,283871,12911725,15829235,0.02132310584113765
201112,consultant_to_consultant_referrals-adult_non-surgical,8369330,213343370,156916610,0.03929612866591971
201112,consultant_to_consultant_referrals-adult_surgical,21460560,347481500,156916610,0.06567482552367251
201112,followup_reduction-adult_non-surgical,143920990,69422380,156916610,2.161207636054753
201112,followup_reduction-adult_surgical,250899540,96581960,156916610,2.689858936459799
201112,left_before_treatment-adult_ambulance,1106490,34205820,156916610,0.03108613491782193
201112,left_before_treatment-adult_walk-in,2385570,76930030,156916610,0.021921515427207997
201112,low_cost_discharged-adult_ambulance,5075470,34205820,156916610,0.1478581094678146
201112,low_cost_discharged-adult_walk-in,29951190,76930030,156916610,0.36048994988738636
201112,tele_conversion-adult_non-surgical,213343370,214129890,156916610,0.9963244990134621
201112,tele_conversion-adult_surgical,347481500,351437550,156916610,0.9883139973733354
201112,zero_los_no_procedure-adult,757858,12771548,15691661,0.057800673397019046
201112,evidence_based_interventions_general_surgery,51653,12681357,15610208,0.004069344014526868
201112,evidence_based_interventions_gi_surgical,653738,12681357,15610208,0.05211883394922476
201112,evidence_based_interventions_urology,222208,12681357,15610208,0.018033884680033703
201112,evidence_based_interventions_vasuclar_varicose_veins,22879,12681357,15610208,0.0017863741003103606
201112,enhanced_recovery_knee,276443,51646,15067174,5.575394699289199
201112,enhanced_recovery_prostate,15333,5006,5794810,4.088176223978762
201112,falls_related_admissions,164958,5375907,7004373,0.03080785994353593
201112,emergency_elderly,13468138,1338474,3987928,9.762657871819224
201112,frail_elderly-high,740193,3056172,3987928,0.2448256158928794
201112,frail_elderly-intermediate,842229,3056172,3987928,0.2782426642159824
201213,ambulatory_care_conditions_acute,291174,14861195,17614441,0.01899610384371665
201213,ambulatory_care_conditions_chronic,376810,14861195,17614441,0.026023392561424875
201213,ambulatory_care_conditions_vaccine_preventable,182264,14861195,17614441,0.012738606834984387
201213,bads_daycase,316983,1501602,17614441,0.2109776569825738
201213,bads_daycase_occasional,178985,205261,17614441,0.8673823799749494
201213,bads_outpatients,364974,775770,17614441,0.5722407134514845
201213,bads_outpatients_or_daycase,46658,72620,17562172,0.8165296459021294
201213,cancelled_operations,208676,14861195,17614441,0.014159059159589787
201213,consultant_to_consultant_referrals-child_non-surgical,1080870,27210920,19227800,0.09399911249772003
201213,consultant_to_consultant_referrals-child_surgical,3716970,49359730,19227800,0.09281549791352867
201213,enhanced_recovery_breast,66788,56488,16455704,1.1788212513391192
201213,enhanced_recovery_colectomy,86856,9849,17254335,8.982968761400922
201213,enhanced_recovery_rectum,100083,9541,16664744,10.011967587024149
201213,eol_care-0-2_days,29232,14535187,17286042,0.0021211585079394923
201213,eol_care-3+_days,45294,14430651,17151026,0.003325117203658345
201213,evidence_based_interventions_ent,37240,14861195,17614441,0.002384157508917774
201213,excess_beddays_elective,698445,16700,17614441,43.71182466507814
201213,excess_beddays_emergency,675704,18139,17614441,38.720972836451345
201213,followup_reduction-child_non-surgical,17732980,9477940,19227800,1.4595489334171068
201213,followup_reduction-child_surgical,32890070,16469660,19227800,1.7542125981102763
201213,frequent_attender-child_ambulance,284710,3977210,19227800,0.063537112436146
201213,frequent_attender-child_walk-in,1498930,32571280,19227800,0.04878263615394279
201213,intentional_self_harm,88756,14861195,17614441,0.00550175460157949
201213,left_before_treatment-child_ambulance,87900,3977210,19227800,0.018978344062362113
201213,left_before_treatment-child_walk-in,693530,32571280,19227800,0.02082544064594959
201213,low_cost_discharged-child_ambulance,1741700,3977210,19227800,0.4512987823195222
201213,low_cost_discharged-child_walk-in,16926530,32571280,19227800,0.5492184240915287
201213,medically_unexplained_related_admissions,262478,14861195,17614441,0.017625810592739006
201213,medicines_related_admissions_explicit,71715,14861195,17614441,0.004941528291994238
201213,medicines_related_admissions_implicit_diurectics,29440,13721736,16341002,0.0022383091896974096
201213,obesity_related_admissions,108190.74999999389,14861195,17614441,0.007483554752866852
201213,preop_los,180598,7513615,17614441,0.02605319160918058
201213,raid_ae,55644,14861195,17614441,0.0036649334198055774
201213,raid_ip,9876988,1204317,17614441,8.01387711893006
201213,readmission_within_28_days,1136462,14861195,17614441,0.07719375357372053
201213,smoking,390053.08000000124,14861195,17614441,0.027152321226919893
201213,stroke_early_supported_discharge,1238362,77832,17614441,13.473076380681237
201213,tele_conversion-child_non-surgical,27210920,27252040,19227800,0.9987066952153709
201213,tele_conversion-child_surgical,49359730,49857980,19227800,0.9905309988774401
201213,zero_los_no_procedure-child,313405,1685982,1922780,0.1838948535318066
201213,medicines_related_admissions_implicit_benzodiasepines,39927,14555511,17238766,0.002814532939666245
201213,medicines_related_admissions_implicit_anti_diabetics,21617,14303181,16917929,0.0015619049170043438
201213,enhanced_recovery_hip,308054,54954,16184689,5.520593725557813
201213,enhanced_recovery_bladder,19980,1325,13485302,14.311702946449214
201213,evidence_based_interventions_msk,136328,14067287,16671256,0.00976666361849325
201213,enhanced_recovery_hysterectomy,102972,31978,8921634,3.8114884015129507
201213,medicines_related_admissions_implicit_nsaids,9424,13261975,15768680,7.409276175447877e-4
201213,alcohol_partially_attributable-acute,60649.31000000007,11648120,13793557,0.005128293839673842
201213,alcohol_partially_attributable-chronic,523818.1799999993,13314400,15829235,0.04054760478244412
201213,alcohol_wholly_attributable,284870,13314400,15829235,0.020858505338594
201213,ambulatory_emergency_care_high,2048,3231,14960104,0.669700988157307
201213,consultant_to_consultant_referrals-adult_non-surgical,8593680,218312740,156916610,0.039420930465180894
201213,consultant_to_consultant_referrals-adult_surgical,22529910,370596250,156916610,0.06469575493481693
201213,followup_reduction-adult_non-surgical,146794870,71517870,156916610,2.135382246330566
201213,followup_reduction-adult_surgical,267028030,103568220,156916610,2.6585800776469655
201213,frequent_attender-adult_ambulance,4706120,36403150,156916610,0.13242645022823313
201213,frequent_attender-adult_walk-in,4576380,82971420,156916610,0.05467985680228557
201213,left_before_treatment-adult_ambulance,1088570,36403150,156916610,0.029583063239261933
201213,left_before_treatment-adult_walk-in,2532480,82971420,156916610,0.021948371646162285
201213,low_cost_discharged-adult_ambulance,4881990,36403150,156916610,0.134736013677627
201213,low_cost_discharged-adult_walk-in,33208660,82971420,156916610,0.36788828497740134
201213,tele_conversion-adult_non-surgical,218312740,219353350,156916610,0.9952519064129443
201213,tele_conversion-adult_surgical,370596250,375692490,156916610,0.9858379842117262
201213,zero_los_no_procedure-adult,770424,13175213,15691661,0.05719790454401505
201213,ambulatory_emergency_care_very_high,378,1255,5030119,0.319818524826828
201213,evidence_based_interventions_general_surgery,51715,13085024,15610208,0.003944831094698379
201213,evidence_based_interventions_gi_surgical,726283,13085024,15610208,0.05601609993306459
201213,evidence_based_interventions_urology,176256,13085024,15610208,0.013819996636968066
201213,evidence_based_interventions_vasuclar_varicose_veins,21002,13085024,15610208,0.001595412595770614
201213,enhanced_recovery_knee,272039,52527,15207138,5.339999735990416
201213,enhanced_recovery_prostate,13948,4890,5902780,3.527017895047791
201213,falls_related_admissions,204169,5637468,7004373,0.036344895906368864
201213,emergency_elderly,14142500,1427797,3987928,9.604267211003235
201213,frail_elderly-high,965513,3187230,3987928,0.3042446673192225
201213,frail_elderly-intermediate,967025,3187230,3987928,0.3044158000783965
201314,ambulatory_care_conditions_acute,297566,15310128,17614441,0.01897368278875601
201314,ambulatory_care_conditions_chronic,378216,15310128,17614441,0.025237676147279814
201314,ambulatory_care_conditions_vaccine_preventable,192523,15310128,17614441,0.013011111034520469
201314,bads_daycase,311386,1566455,17614441,0.1994196947517541
201314,bads_daycase_occasional,183105,211903,17614441,0.8559093762002272
201314,bads_outpatients,328735,840918,17614441,0.4944806590617504
201314,bads_outpatients_or_daycase,47253,79240,17501399,0.8175774966816692
201314,cancelled_operations,221591,15310128,17614441,0.014572013465270142
201314,consultant_to_consultant_referrals-child_non-surgical,1119070,27616220,19227800,0.09661125109250181
201314,consultant_to_consultant_referrals-child_surgical,4037900,54687630,19227800,0.0914800910044156
201314,enhanced_recovery_bladder,18097,1331,13233962,13.715201312806672
201314,enhanced_recovery_colectomy,86005,9896,17293937,8.448829704426501
201314,enhanced_recovery_rectum,90336,8781,16578381,10.247633428021047
201314,eol_care-0-2_days,26066,14934296,17220936,0.0018297820072692198
201314,eol_care-3+_days,41962,14766124,17046521,0.002983404259838848
201314,evidence_based_interventions_ent,35985,15310128,17614441,0.002251613469697956
201314,excess_beddays_elective,547012,14789,17614441,40.368629536372424
201314,excess_beddays_emergency,698975,20895,17614441,33.931968174185215
201314,followup_reduction-child_non-surgical,17778400,9837820,19227800,1.4106460802185403
201314,followup_reduction-child_surgical,36765660,17921970,19227800,1.79963380794181
201314,frequent_attender-child_ambulance,582360,4093610,19227800,0.12164950987020011
201314,frequent_attender-child_walk-in,3462370,33097240,19227800,0.10193153329088919
201314,intentional_self_harm,96066,15310128,17614441,0.005817773372090187
201314,left_before_treatment-child_ambulance,73300,4093610,19227800,0.015016581286409121
201314,left_before_treatment-child_walk-in,601120,33097240,19227800,0.017662248907456105
201314,low_cost_discharged-child_ambulance,1778860,4093610,19227800,0.44514256150844533
201314,low_cost_discharged-child_walk-in,16855650,33097240,19227800,0.5379715932060102
201314,medically_unexplained_related_admissions,269647,15310128,17614441,0.01754300490563636
201314,medicines_related_admissions_explicit,79768,15310128,17614441,0.00531917655930784
201314,obesity_related_admissions,97247.75999999348,15310128,17614441,0.006492281372344159
201314,preop_los,165105,7826842,17614441,0.023078848720158956
201314,raid_ae,60498,15276643,17579095,0.0038900214047339664
201314,raid_ip,10266593,1305496,17614441,7.676371490484337
201314,readmission_within_28_days,1188081,15310128,17614441,0.07820563707732449
201314,smoking,409078.31000000145,15310128,17614441,0.027453146143752532
201314,stroke_early_supported_discharge,1278542,79845,17614441,13.869540123402368
201314,tele_conversion-child_non-surgical,27616220,27672190,19227800,0.998186034833653
201314,tele_conversion-child_surgical,54687630,55354670,19227800,0.9887613931366144
201314,zero_los_no_procedure-child,318823,1721908,1922780,0.1836835425075497
201314,evidence_based_interventions_msk,140157,14553342,16724609,0.009674295530165147
201314,medicines_related_admissions_implicit_anti_diabetics,22459,14734962,16917929,0.0015668673247910764
201314,enhanced_recovery_hysterectomy,99329,32414,8945763,3.660006208618618
201314,medicines_related_admissions_implicit_benzodiasepines,41796,14613259,16788550,0.0029263303048379687
201314,medicines_related_admissions_implicit_diurectics,30695,13811203,15945303,0.0023064780766515105
201314,enhanced_recovery_breast,64287,58853,16122351,1.1226516868337055
201314,medicines_related_admissions_implicit_nsaids,10616,13663505,15759064,8.059835563136983e-4
201314,enhanced_recovery_hip,300128,56512,16016328,5.272538749739714
201314,alcohol_partially_attributable-acute,60721.29000000008,12003347,13793557,0.005001724939517069
201314,alcohol_partially_attributable-chronic,555508.8999999977,13728172,15829235,0.041519931359851533
201314,alcohol_wholly_attributable,297272,13728172,15829235,0.021198559937316386
201314,enhanced_recovery_knee,264781,53628,14801249,5.197000782505165
201314,consultant_to_consultant_referrals-adult_non-surgical,9026410,231448810,156916610,0.03899464028756198
201314,consultant_to_consultant_referrals-adult_surgical,24839140,410845960,156916610,0.06341041060910535
201314,followup_reduction-adult_non-surgical,154770340,76678470,156916610,2.0940203467526888
201314,followup_reduction-adult_surgical,295947980,114897980,156916610,2.66399577868537
201314,frequent_attender-adult_ambulance,8591010,37087680,156916610,0.23322627620900127
201314,frequent_attender-adult_walk-in,9515800,84948250,156916610,0.11282584101749778
201314,left_before_treatment-adult_ambulance,1005390,37087680,156916610,0.026805365647285678
201314,left_before_treatment-adult_walk-in,2325090,84948250,156916610,0.0197254120128486
201314,low_cost_discharged-adult_ambulance,4559520,37087680,156916610,0.12307184320180357
201314,low_cost_discharged-adult_walk-in,32972600,84948250,156916610,0.3563752373453407
201314,tele_conversion-adult_non-surgical,231448810,232878550,156916610,0.9938476631593218
201314,tele_conversion-adult_surgical,410845960,417736430,156916610,0.9832828703088446
201314,zero_los_no_procedure-adult,817303,13588220,15691661,0.05903958119967417
201314,ambulatory_emergency_care_very_high,405,1178,6059078,0.4195864612463402
201314,ambulatory_emergency_care_high,2765,4934,15207293,0.6132290295081139
201314,evidence_based_interventions_general_surgery,53868,13500608,15610208,0.003989283312755116
201314,evidence_based_interventions_gi_surgical,758676,13500608,15610208,0.05653234716062967
201314,evidence_based_interventions_urology,144833,13500608,15610208,0.010936462372714926
201314,evidence_based_interventions_vasuclar_varicose_veins,22479,13500608,15610208,0.0016499081974533604
201314,enhanced_recovery_prostate,14943,5732,5781788,3.780249695573832
201314,falls_related_admissions,218193,5883966,7004373,0.03740127838233968
201314,emergency_elderly,14241590,1468690,3987928,9.40043523992256
201314,frail_elderly-high,1187119,3318757,3987928,0.3603972428596013
201314,frail_elderly-intermediate,1017598,3318757,3987928,0.30842632368073186
201415,ambulatory_care_conditions_acute,317916,15980045,17614441,0.019467061905788834
201415,ambulatory_care_conditions_chronic,410930,15980045,17614441,0.026044290975975742
201415,ambulatory_care_conditions_vaccine_preventable,226445,15980045,17614441,0.01446245115395848
201415,bads_daycase,297462,1590564,17614441,0.18885534458318798
201415,bads_daycase_occasional,183725,213920,17614441,0.8483910537906426
201415,bads_outpatients,298720,867966,17614441,0.43688636512238027
201415,bads_outpatients_or_daycase,44599,80478,17614441,0.8047259430577419
201415,cancelled_operations,241895,15980045,17614441,0.015228457912624496
201415,consultant_to_consultant_referrals-child_non-surgical,1091020,27502460,19227800,0.091683870562909775
201415,consultant_to_consultant_referrals-child_surgical,4426720,58359750,19227800,0.09237333821122859
201415,enhanced_recovery_colectomy,84145,9683,17401630,8.288453851331255
201415,enhanced_recovery_rectum,91749,9080,16666480,9.636081269850902
201415,eol_care-0-2_days,27282,15551320,17168331,0.0018007261139632391
201415,eol_care-3+_days,46107,15637171,17261678,0.003032900402134878
201415,evidence_based_interventions_ent,34292,15980045,17614441,0.0020635960503690275
201415,excess_beddays_elective,504568,15121,17614441,34.13793401001609
201415,excess_beddays_emergency,685778,21240,17614441,34.09409064224853
201415,followup_reduction-child_non-surgical,17614080,9888380,19227800,1.3803606283204457
201415,followup_reduction-child_surgical,38746270,19613480,19227800,1.7373399401685503
201415,frequent_attender-child_ambulance,611300,4085670,19227800,0.1286672236984236
201415,frequent_attender-child_walk-in,3712230,35787060,19227800,0.10233834503901565
201415,intentional_self_harm,91301,15936765,17572075,0.005444467399907831
201415,left_before_treatment-child_ambulance,71560,4085670,19227800,0.014588892511374128
201415,left_before_treatment-child_walk-in,688600,35787060,19227800,0.018801482728002587
201415,low_cost_discharged-child_ambulance,1703310,4085670,19227800,0.4294117357252936
201415,low_cost_discharged-child_walk-in,17726660,35787060,19227800,0.5219454271712096
201415,medically_unexplained_related_admissions,269772,15980045,17614441,0.016826363745175408
201415,medicines_related_admissions_explicit,85480,15980045,17614441,0.0054214302916725035
201415,medicines_related_admissions_implicit_diurectics,31759,15050830,16619735,0.0021604243770805753
201415,obesity_related_admissions,97785.29999999327,15980045,17614441,0.006226045436402275
201415,preop_los,158819,8121342,17614441,0.021541808837474107
201415,raid_ae,64933,15980045,17614441,0.004025070393206139
201415,raid_ip,10618033,1399669,17614441,7.3705254926620904
201415,readmission_within_28_days,1274687,15980045,17614441,0.08000632210367355
201415,smoking,427276.1100000013,15980045,17614441,0.02726785356975598
201415,stroke_early_supported_discharge,1271997,81363,17588202,13.606420602355994
201415,tele_conversion-child_non-surgical,27502460,27612580,19227800,0.9965463743787569
201415,tele_conversion-child_surgical,58359750,59373140,19227800,0.9840192651069294
201415,zero_los_no_procedure-child,336723,1814616,1922780,0.18471729533133668
201415,medicines_related_admissions_implicit_anti_diabetics,22822,15636436,17238766,0.0014847789364137796
201415,evidence_based_interventions_msk,137162,15193790,16761846,0.009078210125609897
201415,medicines_related_admissions_implicit_benzodiasepines,43632,15346542,16917929,0.002872309787452433
201415,enhanced_recovery_hip,290704,57104,16046591,5.056542558707905
201415,enhanced_recovery_breast,62424,60080,16073275,1.1089725579121272
201415,medicines_related_admissions_implicit_nsaids,12052,14232723,15759420,8.61204036452302e-4
201415,enhanced_recovery_hysterectomy,96031,32268,8676620,3.4326510865095643
201415,enhanced_recovery_knee,268429,56009,15319323,5.185717591639444
201415,alcohol_partially_attributable-acute,60193.670000000064,12464214,13793557,0.004805268706145211
201415,alcohol_partially_attributable-chronic,584623.1599999979,14305096,15829235,0.04168111828132465
201415,alcohol_wholly_attributable,299598,14305096,15829235,0.02073915425137402
201415,consultant_to_consultant_referrals-adult_non-surgical,9151340,240281750,156916610,0.03808678231818739
201415,consultant_to_consultant_referrals-adult_surgical,26120610,428668260,156916610,0.06367437262263696
201415,followup_reduction-adult_non-surgical,160128210,80153540,156916610,2.0733942726353924
201415,followup_reduction-adult_surgical,304986520,123681740,156916610,2.5465870847187473
201415,frequent_attender-adult_ambulance,9171240,38876730,156916610,0.23907567912936903
201415,frequent_attender-adult_walk-in,10394770,92381040,156916610,0.1135145836759552
201415,left_before_treatment-adult_ambulance,1034720,38876730,156916610,0.027272963621569273
201415,left_before_treatment-adult_walk-in,2725330,92381040,156916610,0.021499993064953676
201415,low_cost_discharged-adult_ambulance,4107520,38876730,156916610,0.10730872806007714
201415,low_cost_discharged-adult_walk-in,34302970,92381040,156916610,0.3406215843237498
201415,tele_conversion-adult_non-surgical,240281750,242084750,156916610,0.9925429356879663
201415,tele_conversion-adult_surgical,428668260,438254430,156916610,0.9775549979229682
201415,zero_los_no_procedure-adult,896821,14165429,15691661,0.06247115201622903
201415,ambulatory_emergency_care_very_high,421,1215,5139855,0.4038232327444826
201415,ambulatory_emergency_care_high,3044,5317,15545187,0.6016487512807249
201415,evidence_based_interventions_general_surgery,53098,14079870,15610208,0.0037798604178641616
201415,evidence_based_interventions_gi_surgical,835747,14079870,15610208,0.05957975694193571
201415,evidence_based_interventions_urology,117689,14079870,15610208,0.008462076707262869
201415,evidence_based_interventions_vasuclar_varicose_veins,28785,14079870,15610208,0.0020366588866727754
201415,enhanced_recovery_bladder,18510,1374,12860982,13.793443181599079
201415,enhanced_recovery_prostate,14734,6176,5789219,3.0798015284426463
201415,falls_related_admissions,233468,6244819,7004373,0.037460655544635894
201415,emergency_elderly,14849473,1582858,3987928,9.089593408978367
201415,frail_elderly-high,1442313,3543777,3987928,0.4080820399061851
201415,frail_elderly-intermediate,1112538,3543777,3987928,0.31454559965777495
201516,ambulatory_care_conditions_acute,343200,16714449,17614441,0.020057419552805773
201516,ambulatory_care_conditions_chronic,431121,16714449,17614441,0.02622824559456512
201516,ambulatory_care_conditions_vaccine_preventable,249760,16714449,17614441,0.015297864579967149
201516,bads_daycase,282032,1590006,17614441,0.18158157935863958
201516,bads_daycase_occasional,180565,212667,17614441,0.8380727771196047
201516,bads_outpatients,282656,877933,17614441,0.41909346074304793
201516,bads_outpatients_or_daycase,44289,84200,17550656,0.7990597261118845
201516,cancelled_operations,251879,16714449,17614441,0.01518944631894042
201516,consultant_to_consultant_referrals-child_non-surgical,1029000,26926580,19227800,0.0889084432410095
201516,consultant_to_consultant_referrals-child_surgical,4676340,64377760,19227800,0.08527456344084032
201516,enhanced_recovery_colectomy,84992,9944,17122550,8.124167526714764
201516,enhanced_recovery_rectum,93020,9160,16910334,9.986517549766901
201516,eol_care-0-2_days,26411,16217574,17133933,0.0016806587560451683
201516,eol_care-3+_days,45689,16242642,17149883,0.0029146015541753976
201516,evidence_based_interventions_ent,34433,16714449,17614441,0.0019742760918530357
201516,excess_beddays_elective,529870,15508,17614441,34.91598471044935
201516,excess_beddays_emergency,840837,22480,17614441,38.2516266073696
